InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Year,Month,MonthName
543359,22794,SWEETHEART WIRE MAGAZINE RACK,1,2011-02-07 14:16:00,7.95,16332.0,United Kingdom,7.95,2011,2,February
564336,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2011-08-24 14:28:00,1.65,12748.0,United Kingdom,4.949999999999999,2011,8,August
568589,22357,KINGS CHOICE BISCUIT TIN,4,2011-09-28 10:27:00,4.25,17405.0,United Kingdom,17.0,2011,9,September
551014,22992,REVOLVER WOODEN RULER ,12,2011-04-26 11:04:00,1.95,13209.0,United Kingdom,23.4,2011,4,April
555858,C2,CARRIAGE,1,2011-06-07 14:12:00,50.0,14911.0,EIRE,50.0,2011,6,June
548551,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-01 08:56:00,3.95,14886.0,United Kingdom,15.8,2011,4,April
573666,21807,WHITE CHRISTMAS STAR DECORATION,25,2011-10-31 16:24:00,0.42,15977.0,United Kingdom,10.5,2011,10,October
577303,22556,PLASTERS IN TIN CIRCUS PARADE ,6,2011-11-18 13:02:00,1.65,14390.0,United Kingdom,9.899999999999999,2011,11,November
566518,22667,RECIPE BOX RETROSPOT ,1,2011-09-13 11:24:00,2.95,17779.0,United Kingdom,2.95,2011,9,September
538015,21745,GAOLERS KEYS DECORATIVE GARDEN ,3,2010-12-09 12:49:00,3.75,13240.0,United Kingdom,11.25,2010,12,December
569037,21014,SWISS CHALET TREE DECORATION ,5,2011-09-30 10:45:00,0.29,13263.0,United Kingdom,1.45,2011,9,September
575655,23553,LANDMARK FRAME CAMDEN TOWN ,1,2011-11-10 14:28:00,12.5,16434.0,United Kingdom,12.5,2011,11,November
555524,23169,CLASSIC GLASS COOKIE JAR,1,2011-06-05 11:37:00,4.15,16923.0,United Kingdom,4.15,2011,6,June
550630,84576,BLUE CAT BISCUIT BARREL PINK HEART,12,2011-04-19 14:49:00,1.95,14298.0,United Kingdom,23.4,2011,4,April
558199,22501,PICNIC BASKET WICKER LARGE,2,2011-06-27 12:58:00,9.95,17110.0,United Kingdom,19.9,2011,6,June
543463,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-02-08 14:06:00,2.95,15311.0,United Kingdom,2.95,2011,2,February
559125,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-07-06 12:32:00,4.15,13985.0,United Kingdom,16.6,2011,7,July
573164,21754,HOME BUILDING BLOCK WORD,3,2011-10-28 09:06:00,6.25,13993.0,United Kingdom,18.75,2011,10,October
